renda_mensal,idade,score_credito,tempo_emprego_anos,divida_renda_ratio,num_emprestimos_ativos,historico_atraso,valor_emprestimo,renda_anual,cor_favorita_cod,num_pets,altura_cm,dia_nascimento,codigo_postal,feature_constante,feature_quase_cte,aprovado
6621,47,897,0.4,0.04,1,0,3290,79554,9,3,166.0,16,86432,5,0,1
4523,48,895,4.0,0.035,1,0,13605,53935,8,1,161.2,14,77925,5,0,1
7248,55,694,2.7,0.576,3,0,24531,86888,5,0,164.3,6,25360,5,0,1
12256,28,873,10.5,0.356,1,0,5518,147217,1,0,175.7,10,26847,5,0,1
4270,52,446,1.1,0.205,1,0,1732,50607,2,2,186.5,17,57565,5,0,1
4270,25,742,8.8,0.152,1,1,10855,50913,6,1,172.1,23,27456,5,0,1
12676,20,763,4.1,0.536,2,0,8318,151905,2,0,171.3,31,80982,5,0,1
7788,31,787,0.3,0.0,2,0,2349,93654,2,0,169.2,10,92393,5,0,1
3708,30,638,17.9,0.645,2,1,13151,45046,4,1,166.1,21,90239,5,0,1
6805,62,477,3.6,0.063,0,0,12384,80824,2,0,175.8,10,93230,5,0,1
3721,49,751,1.7,0.153,3,0,2507,44318,2,1,179.8,14,49959,5,0,1
3716,51,812,3.2,0.309,4,1,36733,44518,4,0,158.4,20,25058,5,0,1
5682,62,310,9.8,0.388,1,0,14778,68108,4,0,180.4,17,61492,5,0,1
1559,36,584,1.8,0.284,5,1,1786,18915,8,1,186.3,9,62672,5,0,0
1745,55,390,1.1,0.257,2,0,15601,20319,0,1,159.9,15,79592,5,0,0
3507,33,689,0.7,0.771,1,0,15242,41982,0,4,179.2,7,88391,5,0,1
2676,19,893,1.8,0.513,3,0,25134,31905,8,3,186.4,2,66849,5,0,1
5934,57,625,7.6,0.019,2,0,4919,71568,4,2,177.2,4,72313,5,0,1
2850,34,604,3.2,0.344,1,1,15782,34237,3,4,168.2,20,33488,5,0,1
2106,51,534,1.3,0.7,2,0,6705,25049,1,0,177.8,24,91308,5,0,1
11841,59,408,0.9,0.241,1,1,5191,142700,8,1,161.9,18,98652,5,0,0
4292,33,221,2.0,0.076,4,1,4056,51239,5,1,166.9,11,77192,5,0,0
5117,55,877,14.1,0.607,3,0,1767,61004,8,0,162.7,5,81449,5,0,1
2090,19,810,2.1,0.485,3,1,12485,25374,4,0,156.5,26,75387,5,0,1
3545,19,407,22.2,0.456,5,0,6513,42302,3,0,170.4,8,83509,5,0,0
5252,43,207,3.3,0.043,1,0,912,63056,6,1,173.0,22,26975,5,0,1
2463,30,886,1.0,0.112,3,1,8606,30422,4,0,176.6,20,52392,5,0,0
6157,64,728,11.1,0.498,3,0,20461,73639,7,1,125.2,5,23305,5,0,1
3427,48,801,3.1,0.166,5,0,2848,40640,7,1,171.8,2,86215,5,0,1
4125,51,852,6.2,0.403,2,0,4582,49392,1,3,170.8,5,31961,5,0,1
3425,56,856,20.6,0.436,0,0,11530,40946,4,0,159.1,3,10228,5,0,1
14933,20,365,0.3,0.227,2,0,1046,179579,9,1,165.6,12,91179,5,0,1
4875,25,695,0.5,0.759,4,0,5287,57815,7,1,177.5,19,93544,5,0,0
2605,40,789,6.4,0.674,1,0,10692,32603,2,3,171.0,7,33474,5,0,0
8050,31,628,1.7,0.578,4,0,5172,96239,6,0,169.8,19,13979,5,0,0
2362,44,362,1.0,0.062,2,0,2868,28606,2,2,178.9,4,56343,5,0,0
5570,46,565,0.2,0.085,1,0,2980,67307,5,1,193.1,23,10739,5,0,1
1516,56,725,0.1,0.394,2,0,2231,18287,1,1,167.6,14,29558,5,0,1
2215,56,438,7.4,0.129,2,1,4883,26889,5,2,172.5,19,47817,5,0,0
5530,18,271,0.7,0.783,2,0,18870,66395,5,1,161.1,26,61799,5,0,0
7654,34,644,3.2,0.127,3,0,53611,92164,7,3,191.4,26,48154,5,0,1
5447,58,854,4.7,0.39,4,0,8341,65151,4,1,164.6,29,42272,5,1,1
4585,47,708,2.8,0.291,2,0,14981,54693,0,1,151.9,18,47339,5,0,1
4102,30,468,0.1,0.512,0,0,3817,48333,7,2,176.2,26,89796,5,0,0
2024,38,614,7.7,0.103,2,1,1520,24505,8,1,153.9,7,16594,5,0,1
3191,36,444,0.1,0.344,2,1,35642,38120,0,0,183.0,15,23185,5,0,0
3727,36,874,7.2,0.22,1,1,5033,44911,4,2,175.9,21,22572,5,0,1
9267,42,259,11.2,0.71,1,1,14399,111045,5,1,159.7,1,27569,5,0,0
6040,39,205,2.8,0.032,1,0,9198,73100,3,0,176.7,12,92509,5,0,1
1706,48,769,3.8,0.731,1,0,17955,20389,1,1,166.7,26,79753,5,0,1
5969,34,606,3.2,0.666,2,1,17383,71317,4,1,174.3,29,83184,5,0,1
3900,40,416,2.5,0.238,1,0,10119,46600,3,0,157.2,24,27519,5,0,1
3274,49,225,10.9,0.631,2,1,11050,39538,6,0,156.6,19,41953,5,1,0
7094,27,204,11.2,0.025,4,1,21376,86587,5,0,173.2,27,29804,5,0,0
9123,27,731,2.0,0.773,4,1,5838,110161,2,1,188.8,23,86286,5,0,0
8593,53,589,4.8,0.421,2,0,28127,102512,8,0,163.5,6,75537,5,0,1
2970,25,770,13.1,0.243,2,1,4599,35758,3,2,162.8,26,27275,5,0,1
4082,69,647,16.4,0.29,2,0,8615,48592,4,1,166.6,28,83418,5,0,1
5995,37,345,3.6,0.053,0,0,13404,71743,2,1,156.8,13,72068,5,0,1
8824,49,587,3.0,0.791,1,0,2201,105735,7,1,175.5,31,73344,5,0,1
3686,67,448,1.6,0.031,0,1,24476,44188,6,0,179.0,30,88284,5,0,0
4396,31,725,16.0,0.524,1,1,11857,53191,6,2,174.8,6,42601,5,0,1
2530,67,661,0.8,0.354,1,0,113638,30229,7,2,168.3,13,37575,5,0,1
2397,45,212,4.3,0.759,3,0,42811,28847,6,2,159.8,31,62705,5,0,0
8002,63,583,1.7,0.197,2,0,8032,96019,2,1,190.6,15,65221,5,0,1
11089,69,755,1.6,0.426,2,1,33808,132718,2,2,161.4,29,42369,5,0,1
4706,41,598,2.6,0.386,3,0,15960,56201,1,3,161.2,16,54617,5,0,1
8974,32,218,33.6,0.562,1,0,9748,107383,0,1,152.1,8,68315,5,0,0
6105,39,774,0.3,0.054,6,0,2148,73591,4,2,155.8,13,25317,5,0,1
3337,47,690,4.3,0.155,2,0,2594,39858,3,1,173.5,13,66109,5,0,1
6104,21,618,0.4,0.172,4,0,8131,74132,1,3,165.7,28,38318,5,0,1
12367,30,536,0.8,0.591,2,0,5451,148012,0,1,161.4,29,51239,5,0,1
4810,40,618,2.9,0.151,0,1,9702,57327,2,1,162.0,31,97704,5,0,1
12566,25,811,3.6,0.459,3,1,24291,150258,5,0,164.9,20,28082,5,0,1
1020,35,874,1.5,0.172,1,0,16187,12186,1,1,163.4,20,72520,5,0,1
8047,29,321,1.9,0.689,1,1,4642,96294,9,1,184.0,12,21079,5,0,0
5178,48,631,0.5,0.754,2,0,16982,61959,6,0,166.3,19,12884,5,0,1
4107,31,243,1.8,0.415,1,0,3900,49796,6,0,171.5,17,46347,5,0,0
5192,51,516,17.0,0.282,3,0,3249,62220,2,1,170.6,30,82731,5,0,1
1491,35,580,14.5,0.187,2,0,10996,17704,0,0,170.9,26,77787,5,0,1
4307,51,344,2.0,0.04,4,1,4223,51826,8,1,166.3,3,80176,5,0,0
6089,28,526,4.2,0.215,0,0,4848,73161,4,2,165.3,15,28740,5,0,1
11929,58,562,12.0,0.523,2,0,17946,143524,1,1,176.4,17,22815,5,0,1
3601,29,249,0.0,0.427,2,1,13713,43630,7,3,172.2,6,75177,5,0,0
3025,66,264,8.3,0.755,2,0,6018,36526,9,3,162.4,24,52891,5,0,0
3637,32,554,14.8,0.317,3,1,2208,44112,9,1,141.4,19,62566,5,0,1
8512,48,363,0.5,0.555,3,1,4500,101804,3,1,163.9,30,51968,5,0,0
5986,66,340,0.9,0.391,0,0,38317,71772,9,2,156.4,12,39913,5,0,0
3576,46,327,16.2,0.41,2,1,17557,42973,6,2,160.8,4,88440,5,0,0
6687,43,597,3.9,0.214,2,0,25307,80287,4,0,156.8,21,64860,5,0,1
5209,35,662,0.1,0.364,3,0,9944,64048,2,2,181.6,23,28462,5,0,1
8788,49,386,1.5,0.377,3,0,6119,106004,9,2,181.5,12,45482,5,0,0
3225,39,389,3.0,0.565,1,0,16716,39230,7,0,177.6,27,82483,5,0,0
4037,55,587,5.9,0.753,1,1,22594,48300,1,1,166.7,22,11338,5,0,0
3884,34,628,6.6,0.263,2,0,5520,46574,0,2,163.3,2,22782,5,0,1
2042,40,483,26.9,0.034,1,0,4579,24886,4,0,155.1,7,95609,5,0,0
5870,41,436,1.7,0.397,2,1,2399,71191,3,2,179.1,16,16614,5,0,0
5748,67,393,3.9,0.436,5,0,4488,68548,9,1,178.7,24,10741,5,0,0
4929,25,486,3.8,0.135,4,0,13837,58911,6,0,174.9,30,40210,5,0,1
4269,58,335,2.6,0.608,3,0,5029,51128,8,0,158.9,12,76269,5,0,0
2102,23,370,0.9,0.788,4,1,17075,25353,5,2,166.6,16,23944,5,0,0
3818,22,358,19.0,0.757,0,0,39094,46202,0,1,168.8,14,66991,5,0,0
4001,61,400,9.6,0.158,0,0,8265,48370,7,2,152.3,1,11806,5,0,1
3037,46,686,3.4,0.7,0,0,7998,36671,1,0,184.3,22,23285,5,0,1
4461,45,756,4.6,0.564,1,0,12567,53151,3,2,156.5,27,86993,5,0,1
6263,28,782,1.3,0.363,2,1,5117,75070,2,2,162.2,9,77289,5,0,1
15240,18,703,3.9,0.432,1,0,4827,182211,5,1,152.3,7,50126,5,0,1
5457,60,570,5.9,0.68,1,0,4944,65973,1,3,168.0,5,90123,5,0,1
5736,36,302,3.6,0.384,0,0,3240,68848,4,1,167.5,29,15857,5,0,1
4700,26,324,23.2,0.299,3,1,16644,55817,8,0,179.8,30,43792,5,0,0
1554,44,512,4.7,0.395,3,1,5446,19824,2,2,160.5,10,97684,5,0,1
4837,51,657,2.3,0.463,2,0,19714,56770,1,1,159.1,27,64361,5,0,1
5095,61,429,7.4,0.151,2,0,12374,61108,1,1,170.8,10,46322,5,0,1
21545,21,857,0.9,0.721,1,0,7956,259197,8,1,149.2,25,85507,5,0,1
4379,53,396,2.4,0.539,0,0,15486,52305,5,1,183.3,18,21908,5,0,0
5889,35,622,2.1,0.507,1,0,3809,70750,1,1,156.8,7,74627,5,0,1
4813,32,771,2.8,0.08,0,0,4340,57995,2,1,188.2,25,73643,5,0,1
2437,68,809,7.6,0.483,4,0,14341,28100,0,1,162.1,31,31202,5,0,0
9756,30,370,3.3,0.097,2,1,1398,116527,1,0,155.7,18,80102,5,0,1
7716,36,581,7.9,0.063,1,0,8198,92561,1,1,175.8,13,69883,5,0,1
7900,66,372,4.3,0.422,5,1,12996,94758,1,1,175.3,11,89558,5,0,0
2847,23,862,2.1,0.322,1,0,23125,33490,6,1,175.5,10,53720,5,0,1
11403,65,652,8.3,0.471,2,1,27238,136826,2,3,171.0,22,49662,5,0,1
2119,29,549,1.4,0.071,3,0,7301,25695,3,2,192.4,31,37030,5,0,1
6989,68,833,1.3,0.345,1,0,15006,84512,1,0,156.5,9,49850,5,0,1
18292,54,693,3.5,0.14,1,1,4257,219608,4,2,183.6,15,95288,5,0,1
2712,34,819,1.5,0.79,2,0,5682,32089,8,0,153.9,14,45397,5,0,1
3498,40,203,0.0,0.449,1,0,24200,42262,8,0,186.5,3,66094,5,0,0
5217,43,292,5.2,0.55,1,0,7848,62948,6,0,173.5,24,30616,5,0,0
3633,46,205,3.6,0.26,2,1,9207,43514,7,2,185.6,14,75334,5,0,0
1938,50,487,2.9,0.076,0,0,3545,23067,4,1,178.9,21,16661,5,0,0
