customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,num_support_tickets,customer_satisfaction,payment_method,churn
1,67.0,37.355353341459,,Month-to-Month,DSL,Yes,2.0,4.0,Credit Card,0
2,18.0,47.92927530694908,862.7269555250834,Month-to-Month,Fiber,No,2.0,5.0,Mailed Check,0
3,58.0,61.34774915342014,3558.1694508983683,Month-to-Month,No,Yes,2.0,4.0,Mailed Check,1
4,48.0,72.73507891103156,,Month-to-Month,No,No,2.0,5.0,Mailed Check,0
5,33.0,50.685406690689,1672.618420792737,One Year,DSL,No,1.0,5.0,Electronic Check,0
6,47.0,88.6204828098779,4165.162692064261,One Year,Fiber,No,3.0,3.0,Bank Transfer,1
7,26.0,76.28660460108986,1983.4517196283364,One Year,DSL,No,1.0,4.0,Electronic Check,1
8,37.0,52.63004462236243,,Month-to-Month,DSL,,3.0,5.0,Bank Transfer,0
9,69.0,92.22482293987139,,Two Year,Fiber,No,2.0,4.0,Mailed Check,0
10,50.0,99.02670894116208,4951.335447058104,One Year,Fiber,No,2.0,4.0,Mailed Check,0
11,56.0,67.53288257976216,3781.841424466681,Two Year,Fiber,Yes,2.0,4.0,Credit Card,1
12,68.0,64.62542387590273,4394.528823561385,Two Year,No,No,3.0,4.0,Bank Transfer,0
13,3.0,25.655716168591205,76.96714850577362,One Year,DSL,No,3.0,5.0,Electronic Check,0
14,40.0,59.81218519021328,,Two Year,Fiber,No,5.0,5.0,Mailed Check,0
15,67.0,,,Two Year,No,Yes,3.0,4.0,Mailed Check,1
16,48.0,76.1344851814923,3654.45528871163,Month-to-Month,DSL,No,1.0,4.0,Mailed Check,0
17,62.0,65.78933920923818,4078.939030972767,One Year,Fiber,No,1.0,,Mailed Check,0
18,49.0,76.10067345351237,3728.932999222106,Two Year,No,No,,5.0,Bank Transfer,0
19,8.0,108.35225723259661,866.8180578607729,Month-to-Month,Fiber,Yes,2.0,5.0,Electronic Check,0
20,53.0,56.752147534158084,3007.8638193103784,One Year,No,Yes,5.0,3.0,Electronic Check,0
21,28.0,57.72569293585383,1616.3194022039072,Month-to-Month,DSL,No,0.0,,Mailed Check,0
22,35.0,37.270867142435456,,Two Year,Fiber,No,3.0,2.0,Credit Card,0
23,41.0,69.78348833146036,2861.123021589875,One Year,DSL,No,0.0,,Credit Card,0
24,4.0,,,Month-to-Month,Fiber,Yes,0.0,3.0,Mailed Check,1
25,70.0,26.223241270190762,1835.6268889133532,Month-to-Month,Fiber,No,2.0,,Mailed Check,1
26,65.0,53.35357582451531,3467.982428593495,Two Year,Fiber,No,0.0,,Electronic Check,1
27,35.0,70.89851256259796,2481.4479396909287,Month-to-Month,Fiber,No,2.0,4.0,Mailed Check,0
28,59.0,91.25257208811092,5383.901753198545,Two Year,No,No,4.0,4.0,Mailed Check,0
29,11.0,79.57175597567164,875.289315732388,Month-to-Month,No,No,3.0,4.0,Mailed Check,0
30,23.0,78.13659070455327,1797.1415862047252,Two Year,Fiber,No,3.0,4.0,Mailed Check,0
31,19.0,64.39218035072747,1223.451426663822,Month-to-Month,DSL,No,2.0,4.0,Bank Transfer,0
32,16.0,82.04685642546788,1312.749702807486,Two Year,DSL,No,,1.0,Mailed Check,0
33,28.0,95.35759708833652,,One Year,No,No,2.0,5.0,Electronic Check,1
34,31.0,27.27520558626992,845.5313731743674,Two Year,DSL,No,2.0,5.0,Credit Card,1
35,53.0,88.21338502087835,4675.309406106552,Month-to-Month,No,No,0.0,5.0,Mailed Check,0
36,71.0,,,One Year,DSL,No,0.0,4.0,Bank Transfer,1
37,27.0,56.75027839463714,1532.2575166552028,Month-to-Month,No,Yes,3.0,4.0,Mailed Check,0
38,7.0,,,Month-to-Month,DSL,No,0.0,4.0,Bank Transfer,1
39,15.0,,,Month-to-Month,No,No,2.0,,Electronic Check,0
40,,112.45147480618127,6184.83111433997,Month-to-Month,Fiber,Yes,7.0,5.0,Bank Transfer,1
41,2.0,52.78628668841114,105.57257337682228,Month-to-Month,Fiber,Yes,3.0,4.0,Electronic Check,0
42,,42.88078071867295,1886.7543516216099,Month-to-Month,No,Yes,,,Electronic Check,1
43,59.0,58.58935109641019,,Month-to-Month,No,No,4.0,4.0,Electronic Check,1
44,56.0,51.371319453535165,2876.793889397969,Month-to-Month,Fiber,Yes,1.0,2.0,Bank Transfer,0
45,26.0,73.10896581547289,1900.833111202295,One Year,Fiber,No,1.0,4.0,Credit Card,0
46,51.0,107.92434195616528,5504.141439764429,Month-to-Month,Fiber,No,5.0,,Credit Card,0
47,57.0,55.33460122869466,3154.0722700355955,Month-to-Month,DSL,No,,4.0,Bank Transfer,1
48,50.0,73.85725126379678,3692.862563189839,Month-to-Month,Fiber,No,1.0,4.0,Bank Transfer,0
49,13.0,41.31907146899412,537.1479290969236,One Year,Fiber,No,4.0,,Mailed Check,1
50,19.0,108.00416105516331,2052.0790600481027,Two Year,DSL,No,4.0,,Bank Transfer,0
51,2.0,74.72608606035276,149.4521721207055,Month-to-Month,DSL,No,2.0,5.0,Bank Transfer,0
52,52.0,42.9545219177345,2233.6351397221943,Month-to-Month,DSL,No,2.0,4.0,Credit Card,0
53,45.0,92.60765550336606,4167.344497651473,Month-to-Month,Fiber,,2.0,3.0,Credit Card,0
54,49.0,99.99969121456533,4899.984869513702,Month-to-Month,Fiber,No,1.0,,Mailed Check,0
55,57.0,74.03640908519088,4220.075317855881,Month-to-Month,Fiber,Yes,4.0,3.0,Electronic Check,0
56,50.0,29.0150758114806,1450.75379057403,Month-to-Month,DSL,No,1.0,5.0,Bank Transfer,0
57,4.0,114.62922033791187,458.5168813516475,Month-to-Month,Fiber,No,3.0,4.0,Electronic Check,1
58,68.0,77.75306301566316,5287.208285065095,Month-to-Month,DSL,No,1.0,5.0,Credit Card,1
59,,99.26135743403634,1191.1362892084362,Month-to-Month,DSL,No,3.0,4.0,Credit Card,0
60,22.0,,,Month-to-Month,No,Yes,1.0,3.0,Credit Card,1
61,4.0,60.034401881652485,,Two Year,DSL,No,,2.0,Credit Card,0
62,12.0,72.76132773226414,873.1359327871696,Month-to-Month,No,,3.0,4.0,Mailed Check,0
63,4.0,97.835041950897,391.340167803588,One Year,DSL,No,1.0,4.0,Credit Card,0
64,7.0,,,One Year,No,No,0.0,4.0,Mailed Check,0
65,10.0,38.57915468665796,385.79154686657955,Month-to-Month,DSL,No,1.0,2.0,Electronic Check,0
66,15.0,76.54972991958353,1148.2459487937529,Two Year,DSL,No,2.0,,Credit Card,0
67,71.0,110.73835486276917,7862.4231952566115,Month-to-Month,Fiber,No,5.0,4.0,Mailed Check,1
