customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_months,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AvgMonthlyCharge,ChargesRatio,Country,ActiveService,PromoCode2019,Currency,Churn,LegacyPlanCode,InternalScore
CUST-00000,Male,0,No,No,1,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Two year,Yes,Credit card,63.25,51.44,51.44,120.614,Brazil,1,0,BRL,No,,
CUST-00001,Female,0,No,No,6,6,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,51.62,377.76,62.96,13.6287,Brazil,1,0,BRL,Yes,,
CUST-00002,Male,1,Yes,No,53,54,Yes,No,DSL,No,Yes,No,No,Yes,One year,No,Credit card,45.25,2433.84,45.92,1.8584,Brazil,1,0,BRL,Yes,,
CUST-00003,Male,0,No,No,43,43,Yes,No,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,59.74,2542.52,59.13,2.3487,Brazil,1,0,BRL,No,,
CUST-00004,Male,0,No,No,12,13,Yes,No,Fiber optic,Yes,No,No,No,No,One year,Yes,Electronic check,69.21,810.21,67.52,8.5317,Brazil,1,0,BRL,No,,55.4
CUST-00005,Female,0,No,Yes,14,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,112.54,1594.59,113.9,7.0532,Brazil,1,0,BRL,No,,
CUST-00006,Male,0,No,No,22,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Credit card,95.91,2081.39,94.61,4.6058,Brazil,1,0,BRL,Yes,,44.7
CUST-00007,Male,1,Yes,No,1,1,Yes,Yes,Fiber optic,,No,Yes,No,No,One year,No,Credit card,81.64,80.02,80.02,100.7652,Brazil,1,0,BRL,No,,
CUST-00008,Male,0,No,Yes,8,8,Yes,No,DSL,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,75.54,670.15,83.77,11.2553,Brazil,1,0,BRL,No,LP003,
CUST-00009,Female,0,Yes,No,7,7,Yes,No,DSL,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,59.63,375.95,53.71,15.8191,Brazil,1,0,BRL,Yes,LP002,
CUST-00010,Male,0,No,Yes,8,9,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,73.27,563.78,70.47,12.9732,Brazil,1,0,BRL,Yes,,
CUST-00011,Male,1,Yes,No,49,49,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Bank transfer,84.97,4148.16,84.66,2.0479,Brazil,1,0,BRL,No,,
CUST-00012,Male,1,Yes,No,9,9,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,91.54,981.76,109.08,9.3146,Brazil,1,0,BRL,No,,
CUST-00013,Male,0,Yes,No,6,5,Yes,Yes,DSL,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,66.49,429.35,71.56,15.4502,Brazil,1,0,BRL,Yes,,
CUST-00014,Female,0,No,Yes,21,21,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,59.44,1304.84,62.14,4.5519,Brazil,1,0,BRL,No,LP002,
CUST-00015,Male,1,Yes,Yes,60,59,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,52.77,3204.61,53.41,1.6462,Brazil,1,0,BRL,No,,
CUST-00016,Female,0,No,Yes,8,8,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,No,Credit card,18.0,185.77,23.22,9.6375,Brazil,1,0,BRL,No,LP003,
CUST-00017,Female,0,Yes,No,2,2,Yes,Yes,DSL,No,No,No,No,No,Two year,No,Mailed check,48.47,120.62,60.31,39.8536,Brazil,1,0,BRL,No,,
CUST-00018,Female,1,Yes,No,13,13,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.31,750.29,57.71,7.4951,Brazil,1,0,BRL,No,,
CUST-00019,Male,0,No,No,41,41,Yes,No,DSL,No,No,No,No,Yes,One year,No,Credit card,62.4,,60.63,2.5092,Brazil,1,0,BRL,No,,55.2
CUST-00020,Female,0,Yes,No,24,24,Yes,Yes,DSL,Yes,,Yes,No,No,Month-to-month,No,Bank transfer,52.13,1269.01,52.88,4.1047,Brazil,1,0,BRL,No,,
CUST-00021,Male,0,Yes,No,50,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,18.83,936.08,18.72,2.0094,Brazil,1,0,BRL,No,,
CUST-00022,Female,1,No,No,72,72,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card,43.25,3141.27,43.63,1.3764,Brazil,1,0,BRL,No,,
CUST-00023,Female,1,Yes,No,47,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,18.0,842.46,17.92,2.1341,Brazil,1,0,BRL,No,,
CUST-00024,Female,1,Yes,No,27,27,Yes,No,Fiber optic,No,,Yes,Yes,No,Month-to-month,Yes,Mailed check,64.47,1778.85,65.88,3.6222,Brazil,1,0,BRL,No,,
CUST-00025,Female,0,Yes,No,20,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.62,1179.4,58.97,4.7967,Brazil,1,0,BRL,No,,
CUST-00026,Female,1,No,Yes,1,1,Yes,No,DSL,,No,No,No,No,One year,Yes,Electronic check,67.03,0.0,0.0,6703.0,Brazil,1,0,BRL,Yes,,
CUST-00027,Female,1,No,Yes,72,72,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.78,5722.47,79.48,1.3939,Brazil,1,1,BRL,Yes,,41.6
CUST-00028,Female,0,No,No,14,14,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,41.68,490.65,35.05,8.4776,Brazil,1,0,BRL,No,,
CUST-00029,Female,0,No,Yes,4,5,Yes,Yes,DSL,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,69.47,289.83,72.46,23.8868,Brazil,1,0,BRL,No,,
CUST-00030,Male,0,Yes,No,32,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.28,793.92,24.81,3.1802,Brazil,1,0,BRL,Yes,,
CUST-00031,Male,0,Yes,No,10,10,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,74.56,813.39,81.34,9.1553,Brazil,1,0,BRL,No,,
