,customer_id,age,income,days_since_last_purchase,total_purchases,avg_purchase_value,website_visits,email_open_rate,customer_satisfaction,region,marketing_channel
0,1,56.0,22106.19727004054,8.24885606665529,4,194.62986691496548,13.0,84.11,4.0,Centro,Direct
1,2,69.0,67151.71053860527,6.380687018533278,7,135.02424812262612,3.0,89.82,5.0,Centro,Referral
2,3,46.0,82563.78278118501,75.1186794536906,5,88.21484889752955,10.0,,4.0,Norte,Referral
3,4,32.0,43747.76293402662,3.2209985611137535,4,141.3979320367264,8.0,74.53,3.0,Leste,Search
4,5,60.0,67988.54513549223,21.15403675229453,5,221.90846005728508,9.0,78.16,5.0,Norte,Email
5,6,25.0,105735.72584876242,7.486658066715754,11,158.26200250324626,8.0,73.33,5.0,Leste,Direct
6,7,38.0,54185.21217806829,1.1912398114159994,7,150.62609321648932,9.0,48.47,,Sul,Email
7,8,56.0,47323.03621276567,1.100505168339813,6,231.86058223514266,,90.53,5.0,Leste,Referral
8,9,36.0,66588.78212583326,5.779222303749806,3,78.43225764727865,9.0,92.51,4.0,Centro,Search
9,10,40.0,41527.616283469324,60.47042945612168,0,85.72004429736138,12.0,,3.0,Sul,Email
10,11,28.0,154915.52101980167,9.958581200041483,10,69.2076764516584,15.0,85.61,3.0,Oeste,Social Media
11,12,28.0,71148.89854988195,90.14874337607279,5,168.63240932400277,9.0,,4.0,Sul,Referral
12,13,41.0,49686.27469329356,26.141119475215913,5,158.32465635575622,10.0,53.63,5.0,Leste,Social Media
13,14,70.0,77165.19825845558,17.21371829445263,3,227.1368183639888,8.0,55.06,3.0,Sul,Email
14,15,53.0,66422.87864507893,26.031363035823098,4,162.17375385683852,13.0,88.55,3.0,Sul,Email
15,16,57.0,63081.12969942343,21.813430769852598,2,129.79214202603487,12.0,60.63,3.0,Oeste,Email
16,17,41.0,54178.55970470377,42.66091105648045,2,150.08974364390536,13.0,58.96,4.0,Leste,Direct
17,18,20.0,52950.08982422744,9.959305451961793,7,155.8853709230479,8.0,43.49,3.0,Centro,Referral
18,19,39.0,31486.62319638223,13.064606175678797,3,66.41193633359165,11.0,54.11,,Sul,Referral
19,20,70.0,124290.27949598827,67.35618682141562,1,285.51658221674467,16.0,,4.0,Norte,Referral
20,21,19.0,90393.95962182274,87.81783350832451,3,175.99355090509556,13.0,,5.0,Centro,Direct
21,22,41.0,80577.79549590108,66.92418687591922,7,160.50041540112946,12.0,,4.0,Sul,Email
22,23,,65936.27255701121,16.31327680492482,5,180.758199213929,9.0,48.51,4.0,Centro,Email
23,24,47.0,43377.86518120164,45.47371474654582,5,185.47054902933024,14.0,95.39,4.0,Norte,Social Media
24,25,55.0,48240.492932053254,19.40713537235045,4,142.9723257248784,9.0,59.31,4.0,Centro,Direct
25,26,19.0,33287.870726087596,20.647168498421088,5,118.43794318796498,13.0,82.92,5.0,Centro,Search
26,27,38.0,,6.870326001481352,5,179.9725343160852,8.0,80.33,5.0,Norte,Direct
27,28,50.0,40477.2115880954,26.830762907219825,3,169.2855420265726,11.0,33.55,3.0,Norte,Social Media
28,29,29.0,140136.90526339193,6.1788563242299235,3,109.50549504552959,8.0,36.14,4.0,Norte,Social Media
29,30,,102631.07378372044,12.084470087187551,6,220.9517805683632,7.0,73.04,4.0,Oeste,Social Media
30,31,61.0,72537.06807628383,57.93689535871065,6,164.66760181614916,10.0,91.94,4.0,Norte,Email
31,32,42.0,45635.94466470065,6.9608297973930915,4,186.49096811338154,9.0,43.64,4.0,Centro,Search
32,33,66.0,,2.2145081100907884,9,219.59604438399595,,58.04,5.0,Norte,Social Media
33,34,44.0,64011.69258011983,2.1451247120686388,6,151.09444105824173,16.0,75.47,5.0,Sul,Referral
34,35,59.0,104504.92498311495,84.79716879850638,5,165.84760034920578,12.0,,4.0,Norte,Email
35,36,45.0,33757.67052371029,21.212542035473987,5,190.50136192530582,,29.61,5.0,Norte,Search
36,37,33.0,89872.84580569132,15.799102494049912,4,113.75694580999739,8.0,65.26,5.0,Leste,Referral
37,38,,50962.61428280164,49.96098124985499,10,152.70258314230006,4.0,63.28,5.0,Centro,Search
38,39,64.0,55372.062520008716,54.20483996642909,6,156.2774293325574,,78.42,5.0,Centro,Search
39,40,68.0,71584.08156530632,12.112593721886627,2,102.19707241583028,16.0,83.81,3.0,Sul,Referral
40,41,61.0,46378.97597853131,35.48768331499046,4,265.8818394336939,16.0,67.29,3.0,Oeste,Direct
41,42,72.0,62539.17057918709,44.23709199177786,3,79.63532782537987,11.0,75.96,5.0,Leste,Search
42,43,69.0,44517.690044458046,31.895966170416617,2,85.0948048156421,13.0,70.57,5.0,Sul,Direct
43,44,74.0,52924.454575507385,4.9319175308414795,5,215.71132878517898,5.0,77.65,5.0,Sul,Search
44,45,20.0,97441.40389826997,62.59593848225844,6,185.66331253982713,8.0,,,Centro,Referral
45,46,54.0,,23.236870817127713,5,98.7017591259611,11.0,90.59,4.0,Leste,Search
46,47,68.0,,9.95831705821331,10,180.36445075508465,7.0,81.34,,Centro,Social Media
47,48,24.0,50649.066140983196,16.613464835633042,5,223.3925222498655,6.0,81.08,4.0,Oeste,Social Media
48,49,38.0,90165.20099693477,1.1488522710810682,5,148.4868471201507,14.0,88.7,3.0,Centro,Search
49,50,26.0,29397.35143248828,4.10439347539992,4,279.9411450037291,,53.76,,Norte,Referral
50,51,56.0,71569.71975698297,43.51497220536421,4,63.79690945659823,11.0,65.49,,Centro,Referral
51,52,35.0,92798.73466663482,0.0003490446915129697,3,184.6911726929551,13.0,75.18,4.0,Norte,Email
52,53,21.0,28784.22454891202,16.164709506398133,6,208.32641681105017,6.0,54.94,4.0,Sul,Referral
53,54,42.0,,22.176373228016192,4,194.56719508026234,12.0,71.82,,Oeste,Direct
54,55,31.0,71547.1530470884,1.6855070746949075,2,139.78221366771757,14.0,74.32,3.0,Norte,Search
55,56,67.0,107932.79777871109,108.44452608836326,9,135.47792589944254,9.0,,3.0,Oeste,Social Media
56,57,26.0,52921.21303013577,7.690360355493384,5,172.20725855436288,9.0,52.53,5.0,Centro,Referral
57,58,43.0,88609.3244350476,10.880735284025105,9,190.78772433260346,,81.73,3.0,Centro,Social Media
58,59,70.0,127873.18705196008,10.869690741718758,5,180.12367181411815,9.0,70.44,3.0,Sul,Email
59,60,19.0,90413.75662914675,7.8571809067618394,5,202.00289453966946,8.0,84.49,5.0,Centro,Search
60,61,37.0,63624.561860218884,0.04424727691155174,1,99.05650214666323,13.0,38.07,4.0,Norte,Referral
61,62,45.0,,39.20728713224062,5,138.61145104381828,5.0,66.15,5.0,Sul,Social Media
62,63,64.0,,102.19730456708247,8,102.9992033938123,7.0,,4.0,Oeste,Referral
63,64,24.0,72843.48571967754,7.61943091332633,6,130.69436119569292,10.0,92.74,5.0,Sul,Email
64,65,61.0,65075.687746726486,32.634371803817615,2,200.76104459071527,10.0,84.82,3.0,Oeste,Social Media
65,66,25.0,81519.34993718221,40.631818238418724,5,155.39919603626143,6.0,93.89,5.0,Leste,Social Media
66,67,64.0,57483.90497851124,56.600316841111045,5,280.3429581574885,,98.82,5.0,Norte,Search
67,68,,83575.45636274997,16.478117381616766,4,159.67031835948586,,89.37,4.0,Norte,Search
68,69,31.0,57225.49569878814,10.826122261780476,6,152.9845940289868,,71.58,4.0,Oeste,Social Media
69,70,34.0,,11.804397579439062,5,155.3091459720108,10.0,93.19,4.0,Centro,Search
70,71,,59958.174936613614,37.4086360797727,6,118.1095653570032,15.0,55.05,,Centro,Social Media
71,72,,22549.685097983267,50.91194251890159,5,147.10816938112032,8.0,65.77,3.0,Leste,Direct
72,73,57.0,42151.99857944556,6.012633949249195,4,206.3894013555823,,88.03,5.0,Oeste,Referral
73,74,21.0,70598.52148838309,13.905907199003412,7,155.6985334063886,12.0,85.12,4.0,Leste,Direct
74,75,,139586.6626543707,69.66533247531099,5,110.32701350582643,16.0,,4.0,Oeste,Direct
75,76,23.0,100462.11266093879,49.30435106188112,7,103.74576897606823,6.0,53.78,5.0,Leste,Referral
76,77,,20016.462091278623,125.70928616047128,6,127.48990541670783,11.0,,4.0,Oeste,Social Media
77,78,59.0,32188.104057519828,42.10300314960123,4,153.69317172054403,,77.71,,Norte,Social Media
78,79,21.0,113987.5218940436,14.986443686509933,8,209.6793267738131,8.0,53.82,5.0,Leste,Search
79,80,71.0,,26.79465069899874,4,82.97556793167816,8.0,67.34,5.0,Leste,Email
80,81,,,32.45391661238773,3,134.0086861055622,,88.65,3.0,Oeste,Social Media
81,82,35.0,56145.13986761485,2.4511366636449337,5,157.21550097175395,14.0,86.14,5.0,Sul,Referral
82,83,,45915.223126869074,23.590586590572315,10,58.314711618528264,17.0,52.58,3.0,Sul,Email
83,84,61.0,72344.7140270526,37.06605370070483,6,108.32008585167968,9.0,60.05,4.0,Norte,Referral
84,85,51.0,55634.88609046561,5.493222909388341,4,116.00557301319068,11.0,50.93,,Centro,Referral
85,86,27.0,109289.8182034387,45.51009917922335,3,110.20148130747509,,55.26,4.0,Centro,Referral
86,87,53.0,54740.046023921874,26.295719014408284,3,159.59447725108237,2.0,89.45,4.0,Norte,Email
87,88,31.0,61614.16012975083,91.23556533331542,5,141.97201952491014,10.0,,4.0,Centro,Direct
88,89,48.0,42833.189245253176,1.3004523156633752,2,122.23569486994819,12.0,92.42,5.0,Oeste,Referral
89,90,,97505.94930817552,9.24985808428314,6,171.39813132763175,9.0,65.27,,Sul,Search
90,91,32.0,44168.698432560035,27.605489854867315,2,236.1537358823125,10.0,42.84,5.0,Norte,Social Media
91,92,,84269.63790389251,10.553177073139057,5,231.96282583708762,17.0,73.43,4.0,Oeste,Social Media
92,93,31.0,150127.05043211958,37.59742980566277,2,53.861411396883184,12.0,68.07,5.0,Norte,Social Media
93,94,40.0,26734.84343686157,42.689407947295436,6,178.853609191757,5.0,72.42,4.0,Sul,Email
94,95,74.0,130529.22689631957,3.2447983811578225,3,141.09883549680808,11.0,94.62,,Centro,Search
95,96,57.0,79469.57606070422,21.637417306352276,5,157.7577671432678,9.0,52.01,,Oeste,Search
96,97,38.0,39496.967785034234,21.332648249694465,2,130.08584832287258,11.0,73.32,5.0,Sul,Search
97,98,33.0,73604.96927086904,13.826834285617704,6,155.87943149436012,7.0,84.54,5.0,Norte,Search
98,99,62.0,96249.52638255183,81.05825501301527,6,157.57036980360093,17.0,,3.0,Leste,Search
99,100,35.0,47382.92491310307,52.72184040384245,7,121.05241213255384,,73.66,4.0,Oeste,Direct
100,101,64.0,86415.6843357988,35.84141225245139,6,105.18162260874095,14.0,77.44,4.0,Norte,Search
101,102,70.0,135356.3429755729,37.58718611476649,6,127.56521586902579,14.0,77.25,5.0,Norte,Search
102,103,41.0,54707.067449874696,18.581077326878276,4,161.71296322283828,14.0,85.01,5.0,Sul,Email
103,104,43.0,42580.49205575968,76.14714227136113,4,179.9498170842132,6.0,,5.0,Norte,Email
104,105,42.0,66002.63784857755,35.58353740002627,7,192.66744886700732,8.0,86.24,5.0,Oeste,Search
105,106,62.0,71821.26436542836,39.166997320658496,5,125.29049884665436,14.0,67.65,5.0,Oeste,Direct
106,107,58.0,111779.03534818081,59.34792812614715,5,164.19222836513683,,57.43,3.0,Norte,Search
107,108,46.0,65003.77686538609,9.609116307863236,8,198.1251295976649,9.0,95.09,5.0,Sul,Search
108,109,32.0,,49.362976053737974,4,208.2797447572064,9.0,77.91,5.0,Oeste,Search
109,110,62.0,42059.22177941967,6.516357956970998,2,147.05835729342388,17.0,28.34,5.0,Leste,Referral
110,111,18.0,28903.786938224115,12.709267324980434,3,138.95341375301936,9.0,77.09,4.0,Centro,Direct
111,112,42.0,35968.46646128469,12.266599088106837,4,159.5562116918196,8.0,84.78,,Sul,Social Media
112,113,24.0,35862.181516081284,115.22662866757847,6,92.5146263551297,,,4.0,Sul,Search
113,114,26.0,,58.250390291173275,9,140.3195244482246,13.0,79.53,4.0,Centro,Social Media
114,115,,31716.371453099724,36.23639897954664,3,187.2293199236565,,56.06,3.0,Centro,Direct
115,116,18.0,,38.95474270260643,5,182.09735647218506,13.0,79.65,4.0,Oeste,Search
116,117,61.0,148631.7816296096,24.771077390523928,3,136.48661978180556,7.0,73.19,4.0,Norte,Social Media
117,118,,113218.322394771,88.17526591527604,2,160.88591005435833,16.0,,4.0,Norte,Social Media
118,119,41.0,61643.51656414517,20.570776239631677,4,108.76748298546562,13.0,51.76,4.0,Leste,Direct
119,120,28.0,,14.366134970465126,9,185.17460741125123,15.0,86.33,,Norte,Search
120,121,68.0,71936.48409829538,5.339202838204551,4,146.10892819317635,12.0,63.64,5.0,Leste,Referral
121,122,,76616.86655308878,46.282221536493594,5,136.20242741519309,,53.76,5.0,Leste,Direct
122,123,,65425.61396608354,39.777878459166075,8,131.91380819533066,9.0,87.97,,Sul,Referral
123,124,,68944.02759082803,14.552545285472528,8,146.8553066550071,11.0,78.98,5.0,Sul,Search
124,125,52.0,53826.306501883424,0.7654860286317323,5,127.60611775340209,8.0,68.45,5.0,Oeste,Social Media
125,126,50.0,62058.5976298235,54.790029483319245,3,182.90715180012816,,42.52,,Centro,Direct
126,127,22.0,130919.82369566412,0.34451007312790666,9,130.23582259919095,13.0,73.4,4.0,Centro,Direct
127,128,59.0,118639.00167304829,36.491462419807135,2,229.64820480136905,8.0,76.16,4.0,Leste,Direct
128,129,56.0,22016.935160632176,105.45495473819436,8,223.26052517406904,6.0,,4.0,Centro,Email
129,130,58.0,33579.753546569045,17.269529749108766,7,105.42282550727477,14.0,89.25,5.0,Leste,Search
130,131,45.0,47699.833036870186,8.035340431461208,6,153.48521347146402,14.0,93.18,4.0,Centro,Email
131,132,24.0,104907.58608016564,36.61028292359394,9,117.46716893319025,7.0,88.2,3.0,Oeste,Direct
132,133,26.0,119816.08083347655,50.969088030279764,3,133.66762184056944,10.0,93.35,5.0,Sul,Direct
133,134,25.0,,23.718190895667018,6,250.12137338223985,5.0,65.69,3.0,Sul,Referral
134,135,29.0,39418.19098451697,102.3695170920925,7,134.62142914421003,,,5.0,Leste,Email
135,136,51.0,54342.09665821762,1.5915416412768493,7,168.01130185387143,9.0,78.67,,Centro,Social Media
136,137,50.0,87085.1258333009,21.08354006785721,5,177.0660647004139,16.0,67.15,3.0,Norte,Search
137,138,65.0,62497.77891219149,38.023777420493346,5,99.96853137583797,13.0,64.62,4.0,Oeste,Social Media
138,139,72.0,58543.3284926235,59.55460477292037,1,107.24522627953976,12.0,89.76,3.0,Centro,Social Media
139,140,40.0,58942.74676293716,5.926306804798647,7,89.69888142959405,16.0,96.0,4.0,Norte,Search
140,141,41.0,114687.53093407858,48.28365964212128,4,105.70146330511116,14.0,74.15,3.0,Oeste,Direct
141,142,54.0,91031.17786943188,24.136247621994894,7,10.0,,76.17,4.0,Oeste,Referral
142,143,52.0,60441.01611447839,15.152945805083379,5,177.2291200396814,7.0,92.65,4.0,Sul,Direct
143,144,61.0,81108.65238771816,4.237059303434782,5,252.7096920628035,,53.8,,Leste,Direct
144,145,57.0,,60.14021131812765,3,157.39103695182635,8.0,,5.0,Centro,Email
145,146,39.0,54391.30348843229,5.1333739162893295,5,79.18655703296963,7.0,65.5,3.0,Oeste,Social Media
146,147,44.0,,11.122688346672973,5,117.8611808550026,10.0,52.92,3.0,Centro,Social Media
147,148,52.0,30704.904162968323,10.276633215831625,4,127.05615774875015,15.0,66.66,4.0,Oeste,Social Media
148,149,18.0,91530.44230430435,61.5347281110093,3,99.12076113933122,6.0,,4.0,Sul,Referral
149,150,52.0,,33.50661737178388,3,193.00913191975783,9.0,85.69,4.0,Leste,Referral
150,151,54.0,140616.89273840116,47.78943174931922,5,190.5130022187667,7.0,69.63,,Norte,Referral
151,152,64.0,,8.649183965796787,10,92.22741030911702,11.0,84.01,5.0,Norte,Search
152,153,31.0,83746.38910511283,29.414807249296985,2,186.2540522223754,12.0,89.86,4.0,Sul,Referral
153,154,20.0,73767.02193554612,25.441162863676077,5,226.34063317886324,6.0,69.8,,Oeste,Email
154,155,18.0,74984.16001543887,53.662388225787524,3,245.127910261478,4.0,52.92,4.0,Sul,Email
155,156,22.0,80455.1264867373,70.96161303630223,4,293.2606011542981,12.0,,5.0,Leste,Direct
156,157,43.0,27921.294696158137,0.3669380822691375,6,104.90036752784013,11.0,79.35,4.0,Norte,Direct
157,158,72.0,75683.93086606447,33.62757002668608,3,291.21102131976016,8.0,54.72,,Centro,Direct
158,159,31.0,64205.90624129219,1.5968275213866823,4,132.28968057456058,11.0,70.5,4.0,Norte,Direct
